14:46:12 topic: pageviews/Partition 0 | message lag: 0.0
14:46:12 topic: inventory/Partition 0 | message lag: 0.0
14:46:12 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:46:13 topic: pageviews/Partition 0 | message lag: 0.0
14:46:13 topic: inventory/Partition 0 | message lag: 0.0
14:46:13 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:46:14 topic: pageviews/Partition 0 | message lag: 0.0
14:46:14 topic: inventory/Partition 0 | message lag: 0.0
14:46:14 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:46:15 topic: pageviews/Partition 0 | message lag: 0.0
14:46:15 topic: inventory/Partition 0 | message lag: 0.0
14:46:15 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:46:16 topic: pageviews/Partition 0 | message lag: 0.0
14:46:16 topic: inventory/Partition 0 | message lag: 0.0
14:46:16 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:46:17 topic: pageviews/Partition 0 | message lag: 0.0
14:46:17 topic: inventory/Partition 0 | message lag: 0.0
14:46:17 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:46:18 topic: pageviews/Partition 0 | message lag: 0.0
14:46:18 topic: inventory/Partition 0 | message lag: 0.0
14:46:18 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:46:19 topic: pageviews/Partition 0 | message lag: 0.0
14:46:19 topic: inventory/Partition 0 | message lag: 0.0
14:46:19 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:46:20 topic: pageviews/Partition 0 | message lag: 0.0
14:46:20 topic: inventory/Partition 0 | message lag: 0.0
14:46:20 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:46:21 topic: pageviews/Partition 0 | message lag: 0.0
14:46:21 topic: inventory/Partition 0 | message lag: 0.0
14:46:21 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:46:22 topic: pageviews/Partition 0 | message lag: 0.0
14:46:22 topic: inventory/Partition 0 | message lag: 0.0
14:46:22 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:46:23 topic: pageviews/Partition 0 | message lag: 0.0
14:46:23 topic: inventory/Partition 0 | message lag: 0.0
14:46:23 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:46:24 topic: pageviews/Partition 0 | message lag: 0.0
14:46:24 topic: inventory/Partition 0 | message lag: 0.0
14:46:24 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:46:25 topic: pageviews/Partition 0 | message lag: 0.0
14:46:25 topic: inventory/Partition 0 | message lag: 0.0
14:46:25 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:46:26 topic: pageviews/Partition 0 | message lag: 0.0
14:46:26 topic: inventory/Partition 0 | message lag: 0.0
14:46:26 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:46:27 topic: pageviews/Partition 0 | message lag: 0.0
14:46:27 topic: inventory/Partition 0 | message lag: 0.0
14:46:27 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:46:28 topic: pageviews/Partition 0 | message lag: 0.0
14:46:28 topic: inventory/Partition 0 | message lag: 0.0
14:46:28 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:46:29 topic: pageviews/Partition 0 | message lag: 0.0
14:46:29 topic: inventory/Partition 0 | message lag: 0.0
14:46:29 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:46:30 topic: pageviews/Partition 0 | message lag: 0.0
14:46:30 topic: inventory/Partition 0 | message lag: 0.0
14:46:30 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:46:31 topic: pageviews/Partition 0 | message lag: 0.0
14:46:31 topic: inventory/Partition 0 | message lag: 0.0
14:46:31 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:46:32 topic: pageviews/Partition 0 | message lag: 0.0
14:46:32 topic: inventory/Partition 0 | message lag: 0.0
14:46:32 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:46:33 topic: pageviews/Partition 0 | message lag: 0.0
14:46:33 topic: inventory/Partition 0 | message lag: 0.0
14:46:33 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:46:34 topic: pageviews/Partition 0 | message lag: 0.0
14:46:34 topic: inventory/Partition 0 | message lag: 0.0
14:46:34 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:46:35 topic: pageviews/Partition 0 | message lag: 0.0
14:46:35 topic: inventory/Partition 0 | message lag: 0.0
14:46:35 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:46:36 topic: pageviews/Partition 0 | message lag: 0.0
14:46:36 topic: inventory/Partition 0 | message lag: 0.0
14:46:36 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:46:37 topic: pageviews/Partition 0 | message lag: 0.0
14:46:37 topic: inventory/Partition 0 | message lag: 0.0
14:46:37 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:46:38 topic: pageviews/Partition 0 | message lag: 0.0
14:46:38 topic: inventory/Partition 0 | message lag: 0.0
14:46:38 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:46:39 topic: pageviews/Partition 0 | message lag: 0.0
14:46:39 topic: inventory/Partition 0 | message lag: 0.0
14:46:39 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:46:40 topic: pageviews/Partition 0 | message lag: 0.0
14:46:40 topic: inventory/Partition 0 | message lag: 0.0
14:46:40 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:46:41 topic: pageviews/Partition 0 | message lag: 0.0
14:46:41 topic: inventory/Partition 0 | message lag: 0.0
14:46:41 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:46:42 topic: pageviews/Partition 0 | message lag: 0.0
14:46:42 topic: inventory/Partition 0 | message lag: 0.0
14:46:42 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:46:43 topic: pageviews/Partition 0 | message lag: 0.0
14:46:43 topic: inventory/Partition 0 | message lag: 0.0
14:46:43 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:46:44 topic: pageviews/Partition 0 | message lag: 0.0
14:46:44 topic: inventory/Partition 0 | message lag: 0.0
14:46:44 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:46:45 topic: pageviews/Partition 0 | message lag: 0.0
14:46:45 topic: inventory/Partition 0 | message lag: 0.0
14:46:45 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:46:46 topic: pageviews/Partition 0 | message lag: 0.0
14:46:46 topic: inventory/Partition 0 | message lag: 0.0
14:46:46 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
